name,price,rating,review_count,address,city,state,zip_code
The Upper Crust Sandwich Shoppe,$$,4.5,536,3573 Main St,Riverside,CA,92501
La Bufadora Baja Grill,$,4.0,197,497 E Alessandro Blvd,Riverside,CA,92508
Morefire Thai Cuisine,$$,4.0,307,2955 Van Buren Blvd,Riverside,CA,92503
Burgerim,$$,4.0,111,1201 University Ave,Riverside,CA,92507
Las Campanas,$$,3.0,652,3649 Mission Inn Ave,Riverside,CA,92501
Tio's Tacos,$$,3.5,983,3948 Mission Inn Ave,Riverside,CA,92501
The Cali Grub,$,5.0,105,2025 Chicago Ave,Riverside,CA,92507
Buffalo Wild Wings,$$,2.5,603,3775 Tyler St,Riverside,CA,92503
Bricks and Birch,$$,4.0,45,3605 Market St,Riverside,CA,92501
Mission Inn Restaurant,$$$,3.5,829,3649 Mission Inn Ave,Riverside,CA,92501
Northgate Gonzalez Market,,4.0,42,10391 Magnolia Ave,Riverside,CA,92505
Royal Orchid Thai II,$,4.0,274,1450 University Ave,Riverside,CA,92507
Hibachi Grill Buffet,$$,3.0,343,10102 Indiana Ave,Riverside,CA,92503
Maria's Mexican Kitchen,$$,4.0,174,17028 Van Buren Blvd,Riverside,CA,92504
Kountry Folks Homestyle Restaurant,$$,4.0,713,3653 La Sierra Ave,Riverside,CA,92505
Chilitos Mexican Grill,$,4.5,312,3847 S Pierce St,Riverside,CA,92503
Raincross Pub & Kitchen,$$,3.0,249,3557 University Ave,Riverside,CA,92501
Tony’s Mexican Grill,,4.5,97,9670 Magnolia Ave,Riverside,CA,92503
VIVI EATERY,,4.5,64,1400 University Ave,Riverside,CA,92507
The Tamale Factory,$$,3.5,253,3663 Main St,Riverside,CA,92501
El Nuevo San Miguel,$,4.0,95,8800 Limonite Ave,Riverside,CA,92509
Pepitos Mexican restaurant,$$,3.5,155,5225 Canyon Crest Dr,Riverside,CA,92507
Namaste Indian Kitchen,$,4.5,286,6061 Magnolia Ave,Riverside,CA,92506
Papa Joe's Pizza,$,4.5,331,5115 Jurupa Ave,Riverside,CA,92504
Thai Bay Cafe,$,4.0,218,7549 Arlington Ave,Riverside,CA,92503
Smokey Canyon BBQ,$$,3.5,436,5225 Canyon Crest Dr,Riverside,CA,92507
Antonious Pizza & Cafe,$,4.5,181,6701 Indiana Ave,Riverside,CA,92506
Lucky Wok,$,4.0,234,2995 Van Buren Blvd,Riverside,CA,92503
Frice,$$,3.5,176,1299 University Ave,Riverside,CA,92507
Krispy Krunchy Chicken,$,4.0,28,2278 N Main St,Riverside,CA,92501
Los Cabos Tacos,$,4.0,218,11840 Magnolia Ave,Riverside,CA,92503
Mi Lindo Apatzingan,$$,4.0,316,9948 Magnolia Ave,Riverside,CA,92503
Blaze Fast-Fire'd Pizza,$,4.0,774,3540 Riverside Plaza Dr,Riverside,CA,92506
Kaz Ramen,$$,4.0,1469,22413 Barton Rd,Grand Terrace,CA,92313
Riverside Hot Dog Company,$$,5.0,8,,Riverside,CA,92507
Bella Trattoria Italian Bistro,$$,3.0,576,3649 Mission Inn Ave,Riverside,CA,92501
California Pizza Kitchen at Riverside Plaza,$$,3.5,358,3540 Riverside Plz,Riverside,CA,92506
Pho Anh,$,4.5,119,5644 Van Buren Blvd,Riverside,CA,92503
Olivia's Mexican Restaurant,$$,3.5,463,9447 Magnolia Ave,Riverside,CA,92503
Red Robin Gourmet Burgers and Brews,$$,3.0,305,1370 Tyler St,Riverside,CA,92503
Chick-fil-A,$,3.0,117,3640 Central Ave,Riverside,CA,92506
La Chiva Rayada,$,4.5,67,5572 Mission Blvd,Riverside,CA,92509
Cielito Lindo,$$,4.0,82,10277 Arlington Ave,Riverside,CA,92503
MOD Pizza,$,4.0,292,3444 Arlington Ave,Riverside,CA,92506
DeMatteo's Pizza,$$,4.0,176,7030 Magnolia Ave,Riverside,CA,92506
Sushi Okoku,$$,3.5,620,10380 Magnolia Ave,Riverside,CA,92505
Rodrigo's Mexican Grill,$$,3.5,118,3848 La Sierra Ave,Riverside,CA,92505
Dematteo's,,4.5,5,18590 Van Buren Blvd,Riverside,CA,92508
Tuxies Juices,$,4.5,279,6030 Magnolia Ave,Riverside,CA,92506
El Fogon Mexican Grill Riverside,$,4.0,364,765 Blaine St,Riverside,CA,92507
Dhat Creole Grill,$$,4.0,130,3605 Market St,Riverside,CA,92501
Johnny's Burgers,$,4.0,184,3545 Central Ave,Riverside,CA,92506
Capone's Pizza,$,4.0,185,7201 Arlington Ave,Riverside,CA,92503
Oishii Sushi,$$,3.5,547,6133 Magnolia Ave,Riverside,CA,92506
Ahipoki,$$,4.0,118,3540 Riverside Plaza Dr,Riverside,CA,92506
Pho Ha,$,3.0,520,10185 Magnolia Ave,Riverside,CA,92503
Riverside Community College Culinary Academy,$,4.5,54,3801 Market St,Riverside,CA,92501
El Torito,$$,3.5,669,3639 Riverside Plaza Dr,Riverside,CA,92506
Tummy Stuffer,$,4.5,221,1159 Iowa Ave,Riverside,CA,92507
Antonio Pizza,$,4.5,333,195 E Alessandro Blvd,Riverside,CA,92508
C3 Restaurant,$$,4.0,8,3400 Market St,Riverside,CA,92501
Johnny's Burgers,$,4.0,257,3394 Madison St,Riverside,CA,92504
Duke's Bar And Grill,$$,3.5,250,3221 Iowa Ave,Riverside,CA,92507
Cactus Cantina,$$,3.5,251,151 E Alessandro Blvd,Riverside,CA,92508
Taqueria el Flaco,$,4.5,123,4080 Tyler St,Riverside,CA,92503
Magnolia Center Market Place,,4.5,5,6520 Magnolia Ave,Riverside,CA,92506
Tomo7sushi,$$,3.5,305,5519 Van Buren Blvd,Riverside,CA,92503
Chick-fil-A,$,4.0,27,8432 Magnolia Ave,Riverside,CA,92504
Las Campanas Tequila Bar,,5.0,4,3649 Mission Inn Ave,Riverside,CA,92501
Lucies Locadas,$,4.5,23,1601 University Ave,Riverside,CA,92507
Los Novillos Market,$,5.0,41,2650 Main St,Riverside,CA,92501
Poke Bar University Village,$,4.0,223,3740 Iowa Ave,Riverside,CA,92507
La Bufadora Baja Grill,$,4.0,178,5650-52 Van Buren Blvd,Riverside,CA,92503
Ono Hawaiian BBQ,$,3.5,72,3540 Riverside Plaza Dr,Riverside,CA,92506
The Restaurant at Oak Quarry,$$,4.5,11,7151 Sierra Ave,Riverside,CA,92509
